brand,model,form_factor,wrap_color,ring_color,cell_image_url,cell_data_url,capacity_mah,nominal_voltaje,charging_voltaje,charging_std_ma,charging_max_ma,discharging_cutoff_voltaje,discharging_std_ma,discharging_max_ma,data_ref_url
A123Systems,APR18650M1a,18650,Yellow,White,https://secondlifestorage.com/custom/cell_images/apr18650m1a.jpg,https://secondlifestorage.com/index.php?threads/celldata.4715/,1100,3.30,3.60,1500,4000,2.00,5500,30000,http://www.batteryspace.com/prod-specs/6612.pdf
ATL,INR18650,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/atlinr18650.jpg,https://secondlifestorage.com/index.php?threads/celldata.4113/,2000,3.70,None,None,None,None,None,None,http://multimedia.3m.com/mws/media/793043O/3mtm-mobile-projector-mp225a-battery-msds.pdf?fn=MP225_Battery_MSDS.pdf
BAK,18650C4,18650,Turquoise,White,https://secondlifestorage.com/custom/cell_images/t17DzK2.jpg,https://secondlifestorage.com/index.php?threads/celldata.3273/,2200,3.70,4.20,440,2200,3.00,440,2200,http://www.ebike.ir/uploads/GB%20cell%20spec.pdf
BAK,B18650CA,18650,Green (Light),White,https://secondlifestorage.com/custom/cell_images/bakb18650ca.jpg,https://secondlifestorage.com/index.php?threads/celldata.3265/,2250,3.60,4.20,1100,2250,2.75,1100,4500,http://www.recell.ro/Files/B18650CA.pdf
BAK,C18650CC,18650,Gray,White,https://secondlifestorage.com/custom/cell_images/OUf8FIO.jpg,https://secondlifestorage.com/index.php?threads/celldata.1788/,2600,3.70,4.20,2600,2600,3.00,1300,5200,https://sep.yimg.com/ty/cdn/theshorelinemarket/jetbeam-jl260-18650-2600.pdf
BFN,18650-2200,18650,Blue,Black,https://secondlifestorage.com/custom/cell_images/bfn18650.jpg,https://secondlifestorage.com/index.php?threads/celldata.1834/,2200,3.70,4.20,440,2200,3.00,440,6600,http://en.bfnbattery.com/images/download/18650C-2200.pdf
Cham,CMICR18650F,18650,Blue,Grey,https://secondlifestorage.com/custom/cell_images/chamcmicr18650f.jpg,https://secondlifestorage.com/index.php?threads/celldata.6531/,2000,3.70,None,None,None,None,None,None,None
Cham,CMICR18650F8,18650,Grey,White,https://secondlifestorage.com/custom/cell_images/chamcmicr18650f8.jpg,https://secondlifestorage.com/index.php?threads/celldata.6528/,2600,3.70,None,None,None,None,None,None,None
DLG,N18650,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/uncell001.jpg,https://secondlifestorage.com/index.php?threads/celldata.2585/,2200,3.60,4.20,1100,2200,2.75,440,4400,None
Dyson,INR-20700A,20700,Grey,Black,https://secondlifestorage.com/custom/cell_images/dysoninr20700a.jpg,https://secondlifestorage.com/index.php?threads/celldata.6533/,3000,3.60,4.20,3000,3000,2.50,560,35000,https://images.homedepot-static.com/catalog/pdfImages/3c/3cdc5dff-2f8c-4d6d-8cab-3c7e5f0b70e6.pdf
EVE,ICR18650-26V,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/eveicr1865026v.jpg,https://secondlifestorage.com/index.php?threads/celldata.8390/,2550,3.60,4.20,1275,2550,2.50,1275,7650,http://www.eveargentina.com.ar/gallery/icr18650%2026v-s03-lf.pdf
FP,18650-1800mAh,18650,Green,White,https://secondlifestorage.com/custom/cell_images/fp186501800mah.jpg,https://secondlifestorage.com/index.php?threads/celldata.5776/,1800,None,None,None,None,None,None,None,None
FP,18650-2000mAh,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/fp186502000mah.jpg,https://secondlifestorage.com/index.php?threads/celldata.5778/,2000,None,None,None,None,None,None,None,None
FST,18650-2000mAh,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/fst186502000mah.jpg,https://secondlifestorage.com/index.php?threads/celldata.8336/,2000,3.60,4.20,1000,2000,2.75,1000,10000,None
FST,18650-2200mAh,18650,Turquoise,Grey,https://secondlifestorage.com/custom/cell_images/fst186502200mah.jpg,https://secondlifestorage.com/index.php?threads/celldata.2525/,2200,3.60,4.20,1100,2200,2.75,2200,8800,None
FST,20650-3350mAh,20650,Blue (Dark),White,https://secondlifestorage.com/custom/cell_images/fst206503350.jpg,https://secondlifestorage.com/index.php?threads/celldata.2613/,3350,3.60,4.20,1675,3350,2.75,1675,6700,None
GP Batteries,GP18650CH,18650,Yellow (Dark),Black,https://secondlifestorage.com/custom/cell_images/3Ych0CP.jpg,https://secondlifestorage.com/index.php?threads/celldata.1687/,2200,3.60,4.20,440,2200,2.75,440,6600,https://www.nkon.nl/sk/k/GP%20Product%20Spec%20-%20GP18650CH%20-%20R0.pdf
GP Batteries,GP1865L180,18650,Orange,Black,https://secondlifestorage.com/custom/cell_images/gp1865l180.jpg,https://secondlifestorage.com/index.php?threads/celldata.8116/,1800,3.70,4.20,1080,None,2.80,360,1800,None
GP Batteries,ICR18650-26F,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/MRFwuBT.jpg,https://secondlifestorage.com/index.php?threads/celldata.1760/,2600,3.70,4.20,1300,2000,2.75,520,5200,http://www.tme.eu/de/Document/d5caa5bfe138538981c74706bcadb3c3/ACCU-18650-2.6_GP.pdf
Great Power,ICR 18650,18650,Orange,White,https://secondlifestorage.com/custom/cell_images/gpicr18650.jpg,https://secondlifestorage.com/index.php?threads/celldata.1876/,2000,3.70,4.20,2000,4000,2.75,2000,4000,http://www.greatpowerbattery.com.hk/Products/Cylindrical/Eng/Power%20Plus%20Spec%20(Li-ion%2018650%202000mAh).pdf
Great Power,ICR18650 2.2Ah-AT,18650,Orange,White,https://secondlifestorage.com/custom/cell_images/gpicr1865022ahat.jpg,https://secondlifestorage.com/index.php?threads/celldata.4772/,2200,None,None,None,None,None,None,None,http://www.greatpowerbattery.com.hk/Products/Cylindrical/Eng/Power%20Plus%2018650%202200mAh%20Full%20Specification.pdf
Highstar,ISR18650-1300,18650,Blue,Grey (Dark),https://secondlifestorage.com/custom/cell_images/highstarisr186501300.jpg,https://secondlifestorage.com/index.php?threads/celldata.4717/,1300,3.70,None,None,None,None,None,None,None
Hitachi Maxell (HM),ICR18650PA,18650,Blue (Dark),Black,https://secondlifestorage.com/custom/cell_images/hmicr18650pa.jpg,https://secondlifestorage.com/index.php?threads/celldata.4128/,1500,None,None,None,None,None,None,None,None
Hitachi Maxell (HM),INR18650PB1,18650,Grey (Dark),Black,https://secondlifestorage.com/custom/cell_images/hminr18650pb1.jpg,https://secondlifestorage.com/index.php?threads/celldata.5775/,1450,None,3.70,1000,4000,2.50,290,15000,http://www.batimex.pl/zdjecia/pdf/pb2.pdf
HYB,ICR18650NH,18650,Green (Light),White,https://secondlifestorage.com/custom/cell_images/dCSlB7V.jpg,https://secondlifestorage.com/index.php?threads/celldata.1728/,2200,3.60,4.20,440,2200,2.75,440,6600,https://www.nkon.nl/sk/k/GP%20Product%20Spec%20-%20GP18650CH%20-%20R0.pdf
HYB,ICR18650NM,18650,Turquoise,White,https://secondlifestorage.com/custom/cell_images/icr18650nm.jpg,https://secondlifestorage.com/index.php?threads/celldata.1833/,None,None,None,None,None,None,None,None,https://www.google.ca/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&cad=rja&uact=8&ved=0ahUKEwjyj-zn_5bVAhUJGT4KHcG7CD0QFghKMAQ&url=ftp%3A%2F%2Fsupport.danbit.dk%2FB%2FBAT3.7V4.2A-LI%2FMH28822%2520HYB%2520cell.pdf&usg=AFQjCNF5AUM1LL2vMxjRlNOEHCsj-qaPug
KMASHI,18650KAHL,18650,Orange,Grey,https://secondlifestorage.com/custom/cell_images/kmashi18650kahl.jpg,https://secondlifestorage.com/index.php?threads/celldata.4569/,None,None,None,None,None,None,None,None,None
Lei,INR-18650-CE,18650,Green,White,https://secondlifestorage.com/custom/cell_images/leiinr18650ce.jpg,https://secondlifestorage.com/index.php?threads/celldata.2588/,2200,3.60,None,None,None,None,None,None,None
LG,LGAAHD21865,18650,Violet,White,https://secondlifestorage.com/custom/cell_images/lgaahd21865.jpg,https://secondlifestorage.com/index.php?threads/celldata.8573/,2000,3.65,4.20,1000,4000,2.50,400,25000,http://www.devon-company.com/spec/LG%2018650-HD2.pdf
LG,LGAAMF11865,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/lgaamf11865.jpg,https://secondlifestorage.com/index.php?threads/celldata.2491/,2150,3.65,4.20,1075,2150,2.75,430,10000,http://www.repasebaterii.cz/files/img/datasheet/icr18650mf1.pdf
LG,LGAAS31865,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/2VbuWtp.jpg,https://secondlifestorage.com/index.php?threads/celldata.1762/,2200,3.60,4.20,1075,2150,3.00,430,3225,https://www.tme.eu/fr/Document/851884e7c9339fa73b5bf66663baac51/ACCU-ICR18650-2.2.pdf
LG,LGAAS31865,18650,Turquoise,White,https://secondlifestorage.com/custom/cell_images/lglgaas31865var1.jpg,https://secondlifestorage.com/index.php?threads/celldata.1762/,2200,3.60,4.20,1075,2150,3.00,430,3225,https://www.tme.eu/fr/Document/851884e7c9339fa73b5bf66663baac51/ACCU-ICR18650-2.2.pdf
LG,LGAAS41865,18650,Purple (Dark),White,https://secondlifestorage.com/custom/cell_images/lgaas41865.jpg,https://secondlifestorage.com/index.php?threads/celldata.3558/,2200,3.70,4.20,750,None,2.75,None,None,None
LG,LGABB41865,18650,Gray,White,https://secondlifestorage.com/custom/cell_images/R5Ny6UI.jpg,https://secondlifestorage.com/index.php?threads/celldata.1789/,2600,3.60,4.20,1250,2500,2.75,500,5000,http://www.batteryspace.com/prod-specs/5457_B4.pdf
LG,LGABB41865,18650,Purple,Grey,https://secondlifestorage.com/custom/cell_images/lgabb41865two.jpg,https://secondlifestorage.com/index.php?threads/celldata.1789/,2600,3.60,4.20,1250,2500,2.75,500,5000,http://www.batteryspace.com/prod-specs/5457_B4.pdf
LG,LGABC11865,18650,Brown (Light),White,https://secondlifestorage.com/custom/cell_images/ME8kT3L.jpg,https://secondlifestorage.com/index.php?threads/celldata.1727/,2800,3.75,4.35,1350,2700,3.00,540,4050,http://www.meircell.co.il/files/LG%20ICR18650C1.pdf
LG,LGABC21865,18650,Orange,White,https://secondlifestorage.com/custom/cell_images/ZQ91ToL.jpg,https://secondlifestorage.com/index.php?threads/celldata.1723/,2800,3.72,4.30,1350,2700,3.00,540,5400,http://www.batteryspace.com/prod-specs/5702_5.pdf
LG,LGABC41865,18650,Brown,White,https://secondlifestorage.com/custom/cell_images/lgabc41865.jpg,https://secondlifestorage.com/index.php?threads/celldata.2319/,2750,3.65,4.20,1375,2750,2.75,550,5500,http://www.cleon.ru/specification/LG-INR18650C4.pdf
LG,LGABD11865,18650,Pink,White,https://secondlifestorage.com/custom/cell_images/qO5kIXg.jpg,https://secondlifestorage.com/index.php?threads/celldata.1787/,3000,3.75,4.35,1450,2900,3.00,580,5800,http://keeppower.com.ua/download/2015-01/datasheet_LG-ICR18650D1.pdf
LG,LGABD21865,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/lgabd21865.jpg,https://secondlifestorage.com/index.php?threads/celldata.8571/,2950,3.64,4.20,1475,2950,2.75,590,4425,https://voltaplex.com/media/whitepapers/specification-sheet/LG_D2_Specification_Sheet.pdf
LG,LGABE11865,18650,Teal,White,https://secondlifestorage.com/custom/cell_images/F9nUgYN.jpg,https://secondlifestorage.com/index.php?threads/celldata.1750/,3200,3.75,4.35,1550,2170,2.75,620,4650,http://keeppower.com.ua/download/lg18650e1.pdf
LG,LGABE11865,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/lgabe11865var1.jpg,https://secondlifestorage.com/index.php?threads/celldata.1750/,3200,3.75,4.35,1550,2170,2.75,620,4650,http://keeppower.com.ua/download/lg18650e1.pdf
LG,LGABF1L1865,18650,Purple (Light),White,https://secondlifestorage.com/custom/cell_images/zxBkgah.jpg,https://secondlifestorage.com/index.php?threads/celldata.1774/,3350,3.63,4.20,975,1625,2.50,650,4875,http://keeppower.com.ua/download/2015-11/150304_PS_LGC_INR18650_F1L_v1.pdf
LG,LGABHG21865,18650,Brown,White,https://secondlifestorage.com/custom/cell_images/lgabhg21865.jpg,https://secondlifestorage.com/index.php?threads/celldata.8388/,3000,3.60,4.20,1500,4000,2.00,600,20000,https://www.nkon.nl/sk/k/hg2.pdf
LG,LGCAS31865,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/lgcas31865.jpg,https://secondlifestorage.com/index.php?threads/celldata.4400/,2200,3.70,4.20,None,None,2.70,440,None,None
LG,LGCH118650,18650,Yellow,White,https://secondlifestorage.com/custom/cell_images/lgch118650.jpg,https://secondlifestorage.com/index.php?threads/celldata.2439/,None,None,None,None,None,None,None,None,None
LG,LGCP218650,18650,Purple (Dark),White,https://secondlifestorage.com/custom/cell_images/lgcp218650.jpg,https://secondlifestorage.com/index.php?threads/celldata.1880/,2500,3.60,4.20,480,None,None,None,None,None
LG,LGCS218650,18650,Peach,White,https://secondlifestorage.com/custom/cell_images/lnCrMiZ.jpg,https://secondlifestorage.com/index.php?threads/celldata.1725/,2200,3.70,4.20,430,2150,3.00,430,4300,http://www.monstercells.com/pdf/li-ion/2200-18650.pdf
LG,LGCS318650,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/lgcs318650.jpg,https://secondlifestorage.com/index.php?threads/celldata.1798/,2200,3.60,4.20,1075,None,None,430,None,None
LG,LGDA2E18650,18650,Grey,White,https://secondlifestorage.com/custom/cell_images/lgda2e18650.jpg,https://secondlifestorage.com/index.php?threads/celldata.2004/,2250,3.70,4.20,1000,None,3.00,500,None,None
LG,LGDA418650,18650,Yellow,White,https://secondlifestorage.com/custom/cell_images/lgda418650.jpg,https://secondlifestorage.com/index.php?threads/celldata.4489/,2400,3.60,4.20,1150,None,3.00,480,None,http://www.mundilec.com/appl/botiga/client/img/L-UR18650.pdf
LG,LGDAHA11865,18650,Green (Light),White,https://secondlifestorage.com/custom/cell_images/lgdaha11865.jpg,https://secondlifestorage.com/index.php?threads/celldata.5258/,1300,3.68,4.20,650,4000,2.50,260,15000,https://akkuplus.de/mediafiles/Datenblatt/LG/LGDAHA11865.pdf
LG,LGDAHB21865,18650,Teal,White,https://secondlifestorage.com/custom/cell_images/qXeIciL.jpg,https://secondlifestorage.com/index.php?threads/celldata.1752/,1500,3.65,4.20,750,4000,2.50,300,30000,http://akkuplus.de/mediafiles/Datenblatt/LG/ICR18650HB2.pdf
LG,LGDAHB61865,18650,Red (Dark),White,https://secondlifestorage.com/custom/cell_images/lgdahb61865.jpg,https://secondlifestorage.com/index.php?threads/celldata.1952/,1500,3.65,4.20,750,4000,2.00,300,30000,http://m.sc30power.com/uploads/201611406/PDF/HB6.pdf
LG,LGDAHD2C1865,18650,Peach,White,https://secondlifestorage.com/custom/cell_images/lgdahd2c1865.jpg,https://secondlifestorage.com/index.php?threads/celldata.1882/,2100,3.65,4.20,1050,4000,2.50,420,20000,https://cdn.shopify.com/s/files/1/0674/3651/files/lg_18650HD2C.pdf?10672813303074151572
LG,LGDAHD41865,18650,Tan,White,https://secondlifestorage.com/custom/cell_images/lgdahd41865.jpg,https://secondlifestorage.com/index.php?threads/celldata.8387/,2000,3.65,4.20,1000,4000,2.00,400,25000,https://www.imrbatteries.com/content/lg_HD4.pdf
LG,LGDAME11865,18650,Orange,White,https://secondlifestorage.com/custom/cell_images/lgdame11865.jpg,https://secondlifestorage.com/index.php?threads/celldata.8332/,2100,3.75,4.35,1000,None,None,None,4200,https://baterie18650.pl/wp-content/uploads/2020/04/Product-Specification_2Ah_ME1_LGC-1.pdf
LG,LGDAMF11865,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/lgdamf11865.jpg,https://secondlifestorage.com/index.php?threads/celldata.2492/,2150,3.65,4.20,1075,2150,2.75,430,10000,None
LG,LGDAS31865,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/hXEYpKi.jpg,https://secondlifestorage.com/index.php?threads/celldata.1763/,2200,3.60,4.20,1075,2150,3.00,430,3225,http://www.meircell.co.il/files/LG%20ICR18650S3.pdf
LG,LGDAS41865,18650,Purple (Dark),White,https://secondlifestorage.com/custom/cell_images/lgdas48165.jpg,https://secondlifestorage.com/index.php?threads/celldata.3557/,2200,3.70,4.20,750,None,2.75,None,None,None
LG,LGDB118650,18650,Teal,White,https://secondlifestorage.com/custom/cell_images/v48KxWP.jpg,https://secondlifestorage.com/index.php?threads/celldata.1751/,2600,3.75,4.35,1275,2550,3.00,510,5100,http://d112tss1dzpest.cloudfront.net/wp-content/blogs.dir/26/files/2014/12/LG-ICR18650B1.pdf?323d81
LG,LGDB218650,18650,Pink,White,https://secondlifestorage.com/custom/cell_images/eSXhr2B.jpg,https://secondlifestorage.com/index.php?threads/celldata.1786/,2600,3.70,4.20,1250,2500,3.00,500,3750,http://www.meircell.co.il/files/LG%20ICR18650B2.pdf
LG,LGDB218650,18650,Orange,White,https://secondlifestorage.com/custom/cell_images/lgdb218650v2.jpg,https://secondlifestorage.com/index.php?threads/celldata.1786/,2600,3.70,4.20,1250,2500,3.00,500,3750,http://www.meircell.co.il/files/LG%20ICR18650B2.pdf
LG,LGDB318650,18650,Tan,White,https://secondlifestorage.com/custom/cell_images/lgdb318650.jpg,https://secondlifestorage.com/index.php?threads/celldata.5259/,2600,3.70,None,None,None,None,None,None,None
LG,LGDBB11865,18650,Turquoise,White,https://secondlifestorage.com/custom/cell_images/lgdbb11865.jpg,https://secondlifestorage.com/index.php?threads/celldata.6526/,2600,3.75,4.35,1275,5100,3.00,510,2250,http://d112tss1dzpest.cloudfront.net/wp-content/blogs.dir/26/files/2014/12/LG-ICR18650B1.pdf?323d81
LG,LGDBB31865,18650,Purple (Dark),White,https://secondlifestorage.com/custom/cell_images/8L2SmXH.jpg,https://secondlifestorage.com/index.php?threads/celldata.1779/,2600,3.70,4.20,1250,2500,3.00,500,3750,https://sep.yimg.com/ty/cdn/theshorelinemarket/LG-18650-2600.pdf
LG,LGDBB31865,18650,Salmon,White,https://secondlifestorage.com/custom/cell_images/tNX9N5A.jpg,https://secondlifestorage.com/index.php?threads/celldata.1779/,2600,3.70,4.20,1250,2500,3.00,500,3750,https://sep.yimg.com/ty/cdn/theshorelinemarket/LG-18650-2600.pdf
LG,LGDBB31865,18650,Tan,White,https://secondlifestorage.com/custom/cell_images/lgdbb31865.jpg,https://secondlifestorage.com/index.php?threads/celldata.1779/,2600,3.70,4.20,1250,2500,3.00,500,3750,https://sep.yimg.com/ty/cdn/theshorelinemarket/LG-18650-2600.pdf
LG,LGDBB41865,18650,Grey,White,https://secondlifestorage.com/custom/cell_images/lgdbb41865.jpg,https://secondlifestorage.com/index.php?threads/celldata.2527/,2600,3.60,4.20,1250,2500,2.75,500,3750,https://www.neuhold-elektronik.at/datenblatt/N6102.pdf
LG,LGDBC21865,18650,Orange,White,https://secondlifestorage.com/custom/cell_images/lgdbc21865.jpg,https://secondlifestorage.com/index.php?threads/celldata.2145/,2800,3.72,4.30,540,2700,3.00,540,5400,http://www.batteryspace.com/prod-specs/5702_5.pdf
LG,LGDBD11865,18650,Pink,White,https://secondlifestorage.com/custom/cell_images/lgdbd11865.jpg,https://secondlifestorage.com/index.php?threads/celldata.6041/,3000,3.75,4.35,1450,2900,3.00,580,5800,http://keeppower.com.ua/download/2015-01/datasheet_LG-ICR18650D1.pdf
LG,LGDBHE21865,18650,Red,White,https://secondlifestorage.com/custom/cell_images/e3aNtpM.jpg,https://secondlifestorage.com/index.php?threads/celldata.1720/,2500,3.60,4.20,1250,4000,2.50,500,20000,https://www.powerstream.com/p/LG-ICR18650HE2-REV0.pdf
LG,LGDBHE21865,18650,Red (Dark),White,https://secondlifestorage.com/custom/cell_images/lgdbhe21865.jpg,https://secondlifestorage.com/index.php?threads/celldata.1938/,2500,3.70,4.20,1250,4000,2.00,500,20000,https://www.powerstream.com/p/LG-ICR18650HE2-REV0.pdf
LG,LGDBHE41865,18650,Yellow,White,https://secondlifestorage.com/custom/cell_images/N27mbQj.jpg,https://secondlifestorage.com/index.php?threads/celldata.1726/,2500,3.60,4.20,1250,4000,2.50,500,20000,None
LG,LGDBHG21865,18650,Brown,White,https://secondlifestorage.com/custom/cell_images/B200Lg2.jpg,https://secondlifestorage.com/index.php?threads/celldata.1722/,3000,3.60,4.20,1500,4000,2.00,600,20000,https://www.nkon.nl/sk/k/hg2.pdf
LG,LGDBM361865,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/lgdbm361865.jpg,https://secondlifestorage.com/index.php?threads/celldata.8329/,3440,3.63,4.20,1000,2330,2.50,670,5000,http://www.nkon.nl/sk/k/m36.pdf
LG,LGDBMG11865,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/lgdbmg11865.jpg,https://secondlifestorage.com/index.php?threads/celldata.6431/,2850,3.62,4.20,1425,2850,2.50,570,10000,http://www.plsbattery.com/datasheets/LG-INR18650-MG1-2850mah-10A-18650-High-Drain-Battery.pdf
LG,LGDBMH11865,18650,Turquoise,White,https://secondlifestorage.com/custom/cell_images/lgdbmh11865.jpg,https://secondlifestorage.com/index.php?threads/celldata.8105/,3200,3.67,4.20,1550,3100,2.50,620,10000,https://produktinfo.conrad.com/datenblaetter/1500000-1599999/001558879-da-01-en-LG_LIION_AKKU_INR18650MH1__3200MAH.pdf
LG,LGDBMJ11865,18650,Green,White,https://secondlifestorage.com/custom/cell_images/Hbohmh1.jpg,https://secondlifestorage.com/index.php?threads/celldata.1737/,3500,3.63,4.20,1700,3400,2.50,680,10000,https://www.nkon.nl/sk/k/Specification%20INR18650MJ1%2022.08.2014.pdf
LG,LGDC118650,18650,Brown,White,https://secondlifestorage.com/custom/cell_images/lgdc118650.jpg,https://secondlifestorage.com/index.php?threads/celldata.5286/,2800,3.75,4.35,1350,2700,3.00,540,4050,http://www.meircell.co.il/files/LG%20ICR18650C1.pdf
LG,LGDS218650,18650,Peach,White,https://secondlifestorage.com/custom/cell_images/kYCKTaL.jpg,https://secondlifestorage.com/index.php?threads/celldata.1724/,2200,3.70,4.20,430,2150,3.00,430,4300,http://www.monstercells.com/pdf/li-ion/2200-18650.pdf
LG,LGDS318650,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/ntiOwJe.jpg,https://secondlifestorage.com/index.php?threads/celldata.1764/,2200,3.60,4.20,1075,2150,3.00,420,3225,http://www.meircell.co.il/files/LG%20ICR18650S3.pdf
LG,LGEAMF11865,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/lgeamf11865.jpg,https://secondlifestorage.com/index.php?threads/celldata.2006/,2150,3.65,4.20,1075,2150,2.75,430,10000,http://www.repasebaterii.cz/files/img/datasheet/icr18650mf1.pdf
LG,LGEAS318650,18650,Blue,White,https://secondlifestorage.com/custom/cell_images/rzMC9jN.jpg,https://secondlifestorage.com/index.php?threads/celldata.1765/,2200,3.60,4.20,1075,2150,3.00,430,4300,None
LG,LGEBE11865,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/lgebe11865.jpg,https://secondlifestorage.com/index.php?threads/celldata.8330/,3200,3.75,4.35,1550,2170,2.75,620,4650,http://keeppower.com.ua/download/lg18650e1.pdf
